EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,2810011.0
RI Rio Capim,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,180450.0
Abel Figueiredo,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,1970.0
Aurora do Pará,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,3927.0
Bujaru,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,3612.0
Capitão Poço,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,12454.0
Concórdia do Pará,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,8089.0
Dom Eliseu,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,17029.0
Garrafão do Norte,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,3090.0
Ipixuna do Pará,10 Rio Capim,51,Total da Frota de Veículos por Tipo - 2024 ri rio capim,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Total,5134.0
