EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
RI Tapajós,2.365e+16,3643333333333333.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Aveiro,223.0,432.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Itaituba,224.0,378.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Jacareacanga,314.0,52.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Novo Progresso,169.0,272.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Rurópolis,224.0,206.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Trairão,265.0,378.0,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Fonte: MEC - INEP,,,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,11 Tapajós,10,Distorção idade-série total por nível de Ensino - 2024 ri tapajos,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
