EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
RI Tapajós,219.0,28.0,45.0,11.0,55.0,394.0,63.0,7.0,6.0,66.0,19.0,56.0,13.0,22.0,2.0,7.0,0.0,49.0,33.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Aveiro,5.0,0.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Itaituba,129.0,19.0,32.0,10.0,31.0,231.0,44.0,5.0,5.0,19.0,13.0,20.0,10.0,14.0,1.0,1.0,0.0,43.0,17.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Jacareacanga,18.0,4.0,3.0,0.0,4.0,40.0,0.0,0.0,0.0,14.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Novo Progresso,34.0,2.0,5.0,1.0,11.0,46.0,9.0,1.0,1.0,12.0,3.0,14.0,1.0,4.0,1.0,5.0,0.0,2.0,7.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Rurópolis,21.0,2.0,3.0,0.0,2.0,37.0,7.0,1.0,0.0,12.0,2.0,8.0,2.0,3.0,0.0,1.0,0.0,4.0,6.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Trairão,12.0,1.0,1.0,0.0,7.0,18.0,2.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,11 Tapajós,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tapajos.xlsx,Tapajós
