Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tapajós,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,32822.0
Aveiro,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,969.0
Itaituba,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,20218.0
Jacareacanga,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,830.0
Novo Progresso,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,7406.0
Rurópolis,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,2555.0
Trairão,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,844.0
Fonte: MTE-RAIS,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,
Elaboração: FAPESPA,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,1445663,
RI Tapajós,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,17785.0
Aveiro,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,509.0
Itaituba,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,11358.0
Jacareacanga,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,467.0
Novo Progresso,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,3772.0
Rurópolis,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,1294.0
Trairão,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,385.0
Fonte: MTE-RAIS,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,
Elaboração: FAPESPA,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,839050,
RI Tapajós,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,15037.0
Aveiro,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,460.0
Itaituba,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,8860.0
Jacareacanga,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,363.0
Novo Progresso,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,3634.0
Rurópolis,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,1261.0
Trairão,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,459.0
Fonte: MTE-RAIS,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,
Elaboração: FAPESPA,11 Tapajós,23,Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,20,Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 23 - Vínculos Empregatícios Total e por Sexo no Emprego Formal - 2024 - ri tapajos.xlsx,Tapajós,606613,
