EstadoMunicpios,bitos_por_Agresses_,Populao_Total,Taxa_de_Homicdio_100_Mil_habitantes,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2211.0,8664306.0,2.5518489305433116e+16,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
RI Tapajós,99.0,268410.0,3688387168883424.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Aveiro,0.0,19223.0,0.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Itaituba,49.0,133684.0,3665360102929296.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Jacareacanga,12.0,26006.0,4614319772360225.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Novo Progresso,20.0,36518.0,5476751191193384.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Rurópolis,8.0,37360.0,2141327623126338.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Trairão,10.0,15619.0,6402458544080926.0,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Fonte: DATASUS,,,,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
*Dados Preliminares extraídos em Outubro/2025.,,,,11 Tapajós,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tapajos.xlsx",Tapajós
