EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,2914860687628959.0
RI Tapajós,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,2308384741875891.0
Aveiro,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,1.5954385362531332e+16
Itaituba,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,7072296510130738.0
Jacareacanga,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,2131781739967697.0
Novo Progresso,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,770862083366501.0
Rurópolis,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,2.614924842358508e+16
Trairão,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,1.96078495638382e+16
Fonte: PRODES - INPE-TERRABRASILIS/Queimadas,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,
Elaboração: FAPESPA,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós,Desflorestamento_Acumulado_km,
