EstadoMunicpios,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
RI Tapajós,2.148834100035393e+16,2.8748136157633656e+16,1.0990293783658902e+16,3.0482121068540076e+16,2.9723559202688452e+16,2.1143719365611884e+16,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Aveiro,5773045132450710.0,2.05140604829297e+16,7235794111824900.0,1.9954509427999e+16,1.96455319445639e+16,6200826267288490.0,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Itaituba,1170515865584686.0,6839877143052548.0,6767399571547057.0,2033334761571489.0,1.2236703167686916e+16,1.1338028088700088e+16,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Jacareacanga,2.378627255731598e+16,2.600523543643895e+16,2612099901324195.0,1.107310048641188e+16,4597537919531306.0,2.53374498844293e+16,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Novo Progresso,3.69374837347772e+16,9566270939227336.0,830394295833013.0,5669658090072827.0,3.677140088178314e+16,349048732613243.0,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Rurópolis,1.888451716143703e+16,3.704537781403796e+16,5.92761716610603e+16,1.626700118351624e+16,5089307387856382.0,1.930642935376284e+16,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Trairão,1.245050485908975e+16,3.985520702013108e+16,1152803572257830.0,1545560101479551.0,2.158317444979146e+16,1.230733400231303e+16,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Fonte: FAPESPA/IBGE,,,,,,,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,,11 Tapajós,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tapajos.xlsx,Tapajós
