EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196,1999423,6029379,682394,7.8335282549032295,44.47915780381363,34.129546374128935,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
RI Tapajós,271130,73189,181040,16901,6.233541105742633,49.76248342907645,23.09226796376505,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Aveiro,19380,5693,12186,1501,7.745098039215686,59.034958148695225,26.36571227823643,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Itaituba,135369,34032,92847,8490,6.271746116171354,45.79792561956768,24.947108603667136,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Jacareacanga,26579,10108,15535,936,3.521577184995673,71.09108464757,9.25999208547685,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Novo Progresso,37054,9596,25519,1939,5.232903330274734,45.201614483326146,20.20633597332222,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Rurópolis,37198,9740,24491,2967,7.976235281466745,51.884365685353806,30.46201232032854,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Trairão,15550,4020,10462,1068,6.868167202572348,48.633148537564516,26.56716417910448,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,,,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
"Nota1: Indicador calculado com base na referência internacional de comparação, onde a população considerada ativa ",,,,,,,,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
é composta por pessoas de 15 a 64 anos de idade e a população idosa formada pelas pessoas com 65 anos e mais de idade.,,,,,,,,11 Tapajós,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_tapajós.xlsx,Tapajós
