Par,1445663,13001,27369,17213,69065,120790,63390,742285,27276,365274,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,98643.0,592.0,2058.0,1179.0,7481.0,6679.0,3735.0,55590.0,1094.0,20235.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Abaetetuba,14811.0,29.0,89.0,65.0,790.0,765.0,342.0,8940.0,197.0,3594.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Acará,4771.0,60.0,166.0,76.0,1581.0,302.0,235.0,1526.0,46.0,779.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Baião,1746.0,8.0,5.0,2.0,34.0,91.0,45.0,785.0,35.0,741.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Barcarena,39497.0,73.0,362.0,256.0,731.0,1941.0,1382.0,28217.0,436.0,6099.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Cametá,6367.0,12.0,210.0,57.0,190.0,596.0,213.0,2648.0,62.0,2379.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Igarapé-Miri,3221.0,11.0,65.0,70.0,131.0,278.0,99.0,1288.0,84.0,1195.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Limoeiro do Ajuru,1114.0,1.0,0.0,0.0,4.0,53.0,3.0,445.0,4.0,604.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Mocajuba,1829.0,0.0,4.0,4.0,86.0,366.0,47.0,755.0,29.0,538.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Moju,11223.0,106.0,670.0,239.0,1234.0,931.0,696.0,5031.0,62.0,2254.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Tailândia,14064.0,292.0,487.0,410.0,2700.0,1356.0,673.0,5955.0,139.0,2052.0,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Fonte: MTE-RAIS,,,,,,,,,,,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,,,,,,,12 Tocantins,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio tocantins.xlsx,Tocantins
