EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,4373481.0
RI Tocantins,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,447112.0
Abaetetuba,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,86963.0
Acará,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,32840.0
Baião,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,28474.0
Barcarena,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,70134.0
Cametá,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,74982.0
Igarapé-Miri,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,35937.0
Limoeiro do Ajuru,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,16720.0
Mocajuba,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,14752.0
Moju,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,48235.0
Tailândia,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,38075.0
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,
Elaboração: FAPESPA,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Masculino,
Pará,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Feminino,4337715.0
RI Tocantins,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins,Feminino,426614.0
