EstadoMunicpios,bitos_por_Agresses_,Populao_Total,Taxa_de_Homicdio_100_Mil_habitantes,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2211.0,8664306.0,2.5518489305433116e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
RI Tocantins,227.0,866692.0,2619154209338496.0,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Abaetetuba,45.0,170999.0,2.631594336808987e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Acará,20.0,62701.0,3.1897417904020668e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Baião,7.0,55949.0,1.2511394305528248e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Barcarena,36.0,137331.0,2.6214037617143984e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Cametá,18.0,143837.0,1.2514165339933396e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Igarapé-Miri,23.0,68955.0,3.3355086650714236e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,2.0,31778.0,6293662282081944.0,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Mocajuba,18.0,28821.0,6.245446028937234e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Moju,26.0,90795.0,2.8635938102318412e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Tailândia,32.0,75526.0,4.236951513386119e+16,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Fonte: DATASUS,,,,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
Elaboração: FAPESPA,,,,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
*Dados Preliminares extraídos em Outubro/2025.,,,,12 Tocantins,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri tocantins.xlsx",Tocantins
