EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,8144011.0
RI Tocantins,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,131552.0
Abaetetuba,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,4441.0
Acará,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,17939.0
Baião,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,13957.0
Barcarena,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,4433.0
Cametá,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,8639.0
Igarapé-Miri,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,9571.0
Limoeiro do Ajuru,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,8608.0
Mocajuba,12 Tocantins,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri tocantins.xlsx,Tocantins,rea_de_Floresta_km,1351.0
