EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,24296590644.0
RI Tocantins,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,3.4132965330000004e+16
Abaetetuba,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,272103456.0
Acará,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,904959242.0
Baião,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,265130803.0
Barcarena,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,18164583.0
Cametá,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,428677845.0
Igarapé-Miri,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,188507341.0
Limoeiro do Ajuru,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,331383478.0
Mocajuba,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,184797635.0
Moju,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,50131695.0
Tailândia,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,154773953.0
Fonte: FAPESPA/IBGE,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,
Elaboração: FAPESPA,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Agropecuria,
Pará,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,1.1132113318200006e+16
RI Tocantins,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,5223689548.0
Abaetetuba,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,73614293.0
Acará,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,58472312.0
Baião,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,15612524.0
Barcarena,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,4694444587.0
Cametá,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,40086285.0
Igarapé-Miri,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,38014911.0
Limoeiro do Ajuru,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,552193.0
Mocajuba,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,15067314.0
Moju,12 Tocantins,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri tocantins.xlsx,Tocantins,VA_Indstria,104621354.0
