EstadoMunicpios,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
RI Tocantins,7168356155959168.0,1.4048458827053198e+16,4692450928845411.0,5423526046382098.0,9600531225889478.0,6648656402150407.0,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Abaetetuba,7409422877907075.0,1119924437082268.0,6612786889228590.0,1.164739118014228e+16,1.6847631314793244e+16,7368968766764373.0,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Acará,544881560174481.0,3.724634683358251e+16,5252579661078630.0,2.011811194442962e+16,7862539216837633.0,5856418633275321.0,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Baião,2.136584548083992e+16,1.0912263653973756e+16,1.40247620139429e+16,9761522080713400.0,5223519331305044.0,2.297007730712038e+16,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Barcarena,3.5154823491633372e+16,7476185966233789.0,4217029105628133.0,2.2677763885407584e+16,1.5646871321658766e+16,2.9013543074161304e+16,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Cametá,5296394951005204.0,1.7643539016691676e+16,3.60095912197215e+16,4.186111679543436e+16,1.4974929888244606e+16,5559551902422004.0,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Igarapé-Miri,2626463444374141.0,7758592296427874.0,3414887174913050.0,1.948180009952695e+16,7483002910672266.0,27072350571788.0,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,1.912192829837768e+16,1.3639093766508948e+16,4.9603609325213e+16,3742647935413360.0,3443439802766342.0,2.074016249045434e+16,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
Mocajuba,1.717600706967233e+16,7605908076063151.0,1.35349987637713e+16,9447377533591990.0,4456238977256532.0,1.824694865384593e+16,12 Tocantins,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri tocantins.xlsx,Tocantins
