EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
RI Tocantins,2.1382227625411256e+16,3272323921462748.0,2199662404295559.0,2.3897909117005656e+16,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Abaetetuba,1.537942719272658e+16,4.160717677681912e+16,4.2621638104790776e+16,3.783821708132125e+16,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Acará,6435906474016635.0,4158445086651986.0,9263248142973336.0,2.2219242101326504e+16,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Baião,4.807403205895957e+16,2.8308931697282856e+16,1.1459436847339148e+16,3763563774265105.0,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Barcarena,2607579052446685.0,6739012598270453.0,2.1076944573002116e+16,8925350377491377.0,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Cametá,3211471470017701.0,3.0030933979454556e+16,2030388817670248.0,4457830372517505.0,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Igarapé-Miri,2.9001143394398496e+16,5848450671405401.0,1.9404895527903376e+16,4.574551056013895e+16,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,6654746485667334.0,1.1088978992972314e+16,4866032581492032.0,274776046625374.0,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Mocajuba,4218120453372036.0,3439207723669127.0,1.3961407789696798e+16,4041817995291371.0,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Moju,4080100680099999.0,851488579447359.0,2.0094427494042736e+16,3.0589679910483676e+16,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Tailândia,1.3810538636833052e+16,1.5903890935691036e+16,3267147671596053.0,37614093622285.0,100.0,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Fonte: FAPESPA/IBGE,,,,,,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,,12 Tocantins,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tocantins.xlsx,Tocantins
