EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
RI Tocantins,67286.0,70926.0,73555.0,80460.0,160988.0,142338.0,117422.0,76943.0,47110.0,25267.0,11431.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Abaetetuba,12458.0,13181.0,13431.0,14649.0,31361.0,28827.0,24088.0,16194.0,10129.0,5474.0,2552.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Acará,5014.0,5272.0,5590.0,6121.0,10818.0,9579.0,8108.0,5780.0,3701.0,2056.0,1071.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Baião,4016.0,4303.0,4316.0,4722.0,10873.0,9352.0,8087.0,5456.0,3242.0,1777.0,706.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Barcarena,10400.0,11087.0,11362.0,12253.0,24726.0,23462.0,20024.0,12815.0,7838.0,3622.0,1487.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Cametá,11480.0,11793.0,12333.0,13997.0,27438.0,23037.0,18391.0,11894.0,7554.0,4681.0,2261.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Igarapé-Miri,5027.0,5519.0,6136.0,6691.0,12312.0,11304.0,9453.0,6110.0,3829.0,2129.0,936.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Limoeiro do Ajuru,2932.0,2855.0,2760.0,3115.0,6436.0,5188.0,3870.0,2462.0,1412.0,719.0,339.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Mocajuba,2158.0,2291.0,2429.0,2774.0,5629.0,4471.0,3638.0,2497.0,1552.0,948.0,516.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Moju,7740.0,8024.0,8067.0,8642.0,16750.0,14867.0,12008.0,7899.0,4506.0,2286.0,971.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Tailândia,6061.0,6601.0,7131.0,7496.0,14645.0,12251.0,9755.0,5836.0,3347.0,1575.0,592.0,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,,,,,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,,,,,,,,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins
