EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,626870.0
RI Tocantins,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,67286.0
Abaetetuba,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,12458.0
Acará,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,5014.0
Baião,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,4016.0
Barcarena,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,10400.0
Cametá,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,11480.0
Igarapé-Miri,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,5027.0
Limoeiro do Ajuru,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,2932.0
Mocajuba,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,2158.0
Moju,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,7740.0
Tailândia,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,6061.0
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,
Elaboração: FAPESPA,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,0_a_4_anos,
Pará,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,674284.0
RI Tocantins,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,70926.0
Abaetetuba,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,13181.0
Acará,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,5272.0
Baião,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,4303.0
Barcarena,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,11087.0
Cametá,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,11793.0
Igarapé-Miri,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,5519.0
Limoeiro do Ajuru,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,2855.0
Mocajuba,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,2291.0
Moju,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,8024.0
Tailândia,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,6601.0
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,
Elaboração: FAPESPA,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,5_a_9_anos,
Pará,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,10_a_14_anos,698269.0
RI Tocantins,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,10_a_14_anos,73555.0
Abaetetuba,12 Tocantins,3,População_por_Faixa_Etária_-_2025_ri_tocantins,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tocantins.xlsx,Tocantins,10_a_14_anos,13431.0
