Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,4909999999999999.0,4.310000000000001e+16,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Altamira,51.0,44.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Anapu,45.0,37.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Brasil Novo,54.0,51.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Medicilândia,44.0,36.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Pacajá,42.0,39.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Placas,51.0,44.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Porto de Moz,55.0,45.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Senador José Porfírio,44.0,39.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Uruará,52.0,47.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Vitória do Xingu,53.0,49.0,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Fonte: MEC - INEP,,,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
Elaboração: FAPESPA,,,13 Xingu,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri xingu.xlsx,Xingu
