EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,161.0
RI Xingu,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,1793.0
Altamira,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,203.0
Anapu,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,143.0
Brasil Novo,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,20.0
Medicilândia,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,179.0
Pacajá,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,136.0
Placas,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,116.0
Porto de Moz,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,282.0
Senador José Porfírio,13 Xingu,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri xingu.xlsx,Xingu,Creche,209.0
