EstadoMunicpio,Taxa_de_Mortalidade_Infantil,Taxa_de_Mortalidade_em_Menores_que_05_Anos,Taxa_de_Mortalidade_Materna,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1524701514576214.0,1.8503986837109224e+16,7593975446146058.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
RI Xingu,1.1521464646464644e+16,1.5467171717171718e+16,7891414141414141.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Altamira,9722897423432184.0,1.4584346135148276e+16,9722897423432184.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Anapu,1.4652014652014652e+16,2014652014652015.0,0.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Brasil Novo,3.3003300330033004e+16,3.3003300330033004e+16,0.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Medicilândia,1.3513513513513514e+16,2027027027027027.0,0.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Pacajá,7246376811594203.0,1.4492753623188406e+16,1.4492753623188406e+16,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Placas,1.2618296529968454e+16,1892744479495268.0,0.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Porto de Moz,2.20820189274448e+16,2365930599369085.0,1.5772870662460568e+16,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,8955223880597016.0,8955223880597016.0,2985074626865672.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Uruará,1.4184397163120568e+16,1.4184397163120568e+16,0.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Vitória do Xingu,6557377049180328.0,9836065573770492.0,0.0,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
Fonte: DATASUS,,,,13 Xingu,13,"Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu",20,"Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 13 - Taxas de Mortalidade Infantil, Mortalidade em Menores que 05 Anos e Mortalidade Materna - 2024 ri xingu.xlsx",Xingu
