Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Xingu,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.5085678367432456e+16
Altamira,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.501657152034574e+16
Anapu,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.5623658683148768e+16
Brasil Novo,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.1388408629632414e+16
Medicilândia,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1550658331296057.0
Pacajá,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.5827866220122036e+16
Placas,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.6886852759428936e+16
Porto de Moz,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.4516978453506744e+16
Senador José Porfírio,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.3706476821733972e+16
Uruará,13 Xingu,15,Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,20,Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 15 - Taxa de Natalidade e Percentual de Nascidos Vivos por Tipo de Parto - 2024 ri xingu.xlsx,Xingu,13678533514398037,1.5346437667341474e+16
