EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
RI Xingu,424069.0,2.5079248600000004e+16,1.6909158913158184e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Altamira,138749.0,159533306.0,8697180762993778.0,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Anapu,35638.0,1189527.0,2.9959807553758764e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Brasil Novo,27130.0,6362575.0,42639968880524.0,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Medicilândia,28677.0,8272629.0,3.4664917283248164e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Pacajá,43741.0,11832323.0,3696738163757024.0,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Placas,18510.0,71732.0,2.5804382981096304e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Porto de Moz,44121.0,17422329.0,2.5324398362584012e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Senador José Porfírio,24989.0,14419917.0,1.7329503352897246e+16,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Uruará,45962.0,107914.0,4259132271994366.0,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Vitória do Xingu,16552.0,3089537.0,535743705286585.0,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Fonte: IBGE - Censo Demográfico,,,,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Elaboração: FAPESPA,,,,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
Nota¹: Último ano de registro do dado.,,,,13 Xingu,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_xingu.xlsx",Xingu
