Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Xingu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,576.0
Altamira,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,194.0
Anapu,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,41.0
Brasil Novo,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,33.0
Medicilândia,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,52.0
Pacajá,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,32.0
Placas,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,29.0
Porto de Moz,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,56.0
Senador José Porfírio,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,19.0
Uruará,13 Xingu,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri xingu.xlsx,Xingu,11569,78.0
