Par,1445663,154931,99624,261547,868244,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,35353.0,2672.0,1501.0,9347.0,20015.0,1818.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Altamira,17251.0,1377.0,788.0,5808.0,8548.0,730.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Anapu,3385.0,67.0,276.0,686.0,2245.0,111.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Brasil Novo,1215.0,188.0,29.0,317.0,633.0,48.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Medicilândia,2277.0,109.0,25.0,402.0,1678.0,63.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Pacajá,2741.0,58.0,68.0,670.0,1627.0,318.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Placas,833.0,38.0,,173.0,591.0,31.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Porto de Moz,1961.0,9.0,45.0,116.0,1771.0,20.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Senador José Porfírio,781.0,36.0,1.0,70.0,634.0,40.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
Uruará,3003.0,216.0,41.0,973.0,1509.0,264.0,13 Xingu,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri xingu.xlsx,Xingu
