EstadoMunicpio,rea_de_Floresta_km,Hidrografia_km,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8144011.0,439279.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
RI Xingu,1.9495419999999996e+16,3.8383e+16,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Altamira,1419088.0,16683.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Anapu,76239.0,1735.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Brasil Novo,33776.0,49.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Medicilândia,44558.0,8.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Pacajá,4395.0,0.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Placas,44136.0,1.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Porto de Moz,101448.0,14538.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
Senador José Porfírio,114633.0,3873.0,13 Xingu,34,Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) - 2022 (SERIE ENCERRADA) ri xingu.xlsx,Xingu
