EstadoMunicpios,rea_Territorial_IBGEkm,rea_Cadastrvel_km,_de_rea_Cadastrvel,rea_de_CAR_km,_de_rea_de_CAR,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.2458722699999996e+16,5848309106000001.0,4694148225965414.0,5058925174.0,865.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
RI Xingu,25079314.0,7588184799999998.0,3.0256747852034544e+16,654637855.0,8627067899031665.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Altamira,15953332.0,1994235.0,1250042937738649.0,151909604.0,762.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Anapu,1189527.0,65998101.0,55482642260327.0,57018968.0,8802.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Brasil Novo,636257.0,47814612.0,7514984039468328.0,4418303400000001.0,9249.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Medicilândia,827262.0,7.963614e+16,9626471420178856.0,7.428080699999998e+16,9324.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Pacajá,1183232.0,1.1787976299999998e+16,9962523241426872.0,1.08595588e+16,9212.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Placas,717319.0,5677937099999999.0,7915497986251583.0,51360838.0,9046.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Porto de Moz,1742301.0,3.1866403000000004e+16,1828983797862712.0,25554302.0,8014.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
Senador José Porfírio,1441991.0,37120519.0,257425455498682.0,3428542.0,9226.0,13 Xingu,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri xingu.xlsx",Xingu
