Par,23001070720,2051340906,20949729814,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,1450340,939408,510932.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Altamira,404631,919807,-515176.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Anapu,245222,0,245222.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Brasil Novo,0,820,-820.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Medicilândia,242920,0,242920.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Pacajá,54039,0,54039.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Placas,43498,0,43498.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Porto de Moz,,,0.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,,,0.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Uruará,460030,18781,441249.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Vitória do Xingu,,,0.0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Fonte: MDIC - COMEX STAT,,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Elaboração: FAPESPA,,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
Nota: Saldo é a diferença entre as Exportações e as Importações da UF.,,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu
