Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,266576,3966227,4640906,4610,96067,161718,477562,1759249,1562172,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,137.0,2840.0,6804.0,5298.0,17596.0,29519.0,71,3512,922,1803.0,1393.0,5257.0,7935.0,154950.0,176687.0,375.0,9006.0,16814.0,22750.0,84562.0,88510.0,19400,66292,132176,46,1150,5385,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Altamira,5.0,140.0,309.0,3150.0,12310.0,20435.0,20,1200,306,400.0,361.0,1193.0,950.0,19000.0,14000.0,20.0,500.0,600.0,10500.0,48101.0,45696.0,14000,50092,100184,5,125,500,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Anapu,16.0,320.0,640.0,110.0,277.0,442.0,-,-,-,260.0,156.0,513.0,530.0,10600.0,7884.0,30.0,658.0,757.0,1000.0,2481.0,2642.0,-,-,-,3,75,300,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Brasil Novo,,,,3.0,5.0,8.0,2,108,53,18.0,12.0,40.0,540.0,10800.0,12000.0,5.0,75.0,75.0,1350.0,4050.0,5670.0,-,-,-,-,-,-,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Medicilândia,22.0,440.0,1034.0,15.0,23.0,46.0,-,-,-,75.0,48.0,170.0,220.0,4400.0,4090.0,28.0,560.0,728.0,2100.0,6999.0,7664.0,-,-,-,8,200,835,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Pacajá,6.0,120.0,265.0,300.0,450.0,900.0,10,600,300,650.0,520.0,1906.0,3400.0,68000.0,77568.0,62.0,1559.0,2414.0,1610.0,4830.0,7245.0,-,-,-,-,-,-,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Placas,3.0,15.0,40.0,1000.0,3300.0,5775.0,5,55,22,150.0,114.0,666.0,650.0,9750.0,19500.0,30.0,788.0,754.0,2000.0,6000.0,7200.0,2000,6000,12000,-,-,-,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Porto de Moz,45.0,980.0,2744.0,120.0,156.0,285.0,15,698,101,40.0,21.0,92.0,400.0,7500.0,12225.0,10.0,270.0,392.0,140.0,224.0,262.0,-,-,-,-,-,-,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,5.0,100.0,250.0,80.0,159.0,239.0,15,611,92,65.0,49.0,207.0,355.0,7100.0,8520.0,50.0,1096.0,1644.0,650.0,1637.0,1964.0,-,-,-,-,-,-,13 Xingu,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri xingu.xlsx",Xingu
