Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Xingu,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,61498.0
Altamira,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,34026.0
Anapu,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,4419.0
Brasil Novo,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,4359.0
Medicilândia,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,4772.0
Pacajá,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,3742.0
Placas,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,1173.0
Porto de Moz,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,517.0
Senador José Porfírio,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,686.0
Uruará,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,6093.0
Vitória do Xingu,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,1711.0
Fonte: DETRAN,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,
Elaboração: FAPESPA,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1382057,
RI Xingu,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1419636,79927.0
Altamira,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1419636,41851.0
Anapu,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1419636,4082.0
Brasil Novo,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1419636,3949.0
Medicilândia,13 Xingu,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri xingu.xlsx,Xingu,1419636,4759.0
