Par,973,986,914,991,929,26,08,7,07,58,01,06,16,02,13,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,-,-,9161999999999998.0,97.9,9173999999999998.0,-,-,6969999999999999.0,1.8,688.0,-,-,141.0,0.3,1.38e+16,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Altamira,-,-,918.0,99.7,926.0,-,-,72.0,0.3,65.0,-,-,1.0,0,9.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Anapu,-,-,887.0,100,888.0,-,-,82.0,0,81.0,-,-,31.0,0,31.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Brasil Novo,-,-,969.0,98.5,969.0,-,-,3.0,0,3.0,-,-,1.0,1.5,1.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Medicilândia,-,-,834.0,-,834.0,-,-,136.0,-,136.0,-,-,3.0,-,3.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Pacajá,-,-,864.0,92.3,865.0,-,-,111.0,7.7,111.0,-,-,25.0,0,24.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Placas,-,-,965.0,-,965.0,-,-,35.0,-,35.0,-,-,0.0,-,0.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Porto de Moz,-,-,913.0,-,913.0,-,-,64.0,-,64.0,-,-,23.0,-,23.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,-,-,895.0,-,895.0,-,-,96.0,-,96.0,-,-,9.0,-,9.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Uruará,-,-,953.0,99,955.0,-,-,35.0,1,34.0,-,-,12.0,0,11.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Vitória do Xingu,-,-,964.0,-,964.0,-,-,36.0,-,36.0,-,-,0.0,-,0.0,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Fonte: MEC - INEP,,,,,,,,,,,,,,,,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
Elaboração: FAPESPA,,,,,,,,,,,,,,,,13 Xingu,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri xingu.xlsx",Xingu
