Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Araguaia,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,2693.0
Água Azul do Norte,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,82.0
Bannach,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,30.0
Conceição do Araguaia,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,306.0
Cumaru do Norte,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,44.0
Floresta do Araguaia,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,118.0
Ourilândia do Norte,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,192.0
Pau D'Arco,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,73.0
Redenção,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,606.0
Rio Maria,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia,45314,137.0
