EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,11070.0
RI Araguaia,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,536.0
Água Azul do Norte,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,22.0
Bannach,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,5.0
Conceição do Araguaia,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,68.0
Cumaru do Norte,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,12.0
Floresta do Araguaia,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,8.0
Ourilândia do Norte,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,102.0
Pau D'Arco,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,6.0
Redenção,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,137.0
Rio Maria,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia,Mdicos,25.0
