Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Araguaia,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,79533.0
Água Azul do Norte,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,3422.0
Bannach,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,612.0
Conceição do Araguaia,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,4248.0
Cumaru do Norte,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,2204.0
Floresta do Araguaia,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,2641.0
Ourilândia do Norte,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,5850.0
Pau D'Arco,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,706.0
Redenção,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,19276.0
Rio Maria,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,4454.0
Santa Maria das Barreiras,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,4356.0
Santana do Araguaia,2 Araguaia,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri araguaia.xlsx,Araguaia,1445663,6163.0
