Par,326240796288622,321345718915439,33301152930946,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,256395.0,263009.0,24397.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Água Azul do Norte,320857067796609.0,329192230989368.0,29996791905738.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Bannach,243899299019605.0,228224028888889.0,287441716049374.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Conceição do Araguaia,273791207391723.0,258157015091348.0,296546638728339.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Cumaru do Norte,280189792649723.0,273525579941001.0,302382013752439.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Floresta do Araguaia,213548617569107.0,202448620792823.0,224929519171784.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Ourilândia do Norte,358548377777778.0,400274822372283.0,300397694353521.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Pau D'Arco,257866143059494.0,246036607142864.0,282348139130433.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Redenção,235642470325793.0,256016723913847.0,209834443555975.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
Rio Maria,216331942523576.0,218307284390066.0,213299787137165.0,2 Araguaia,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri araguaia.xlsx,Araguaia
