EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
RI Araguaia,244612.0,231687.0,1.0557864705399956e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Água Azul do Norte,9473.0,8123.0,1.1661947556321556e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Bannach,2326.0,1964.0,1.1843177189409368e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Conceição do Araguaia,23888.0,23256.0,1.0271757825937394e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Cumaru do Norte,8298.0,6852.0,1.2110332749562172e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Floresta do Araguaia,9903.0,8692.0,1.1393235158766682e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Ourilândia do Norte,17991.0,17261.0,1.0422918718498348e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Pau D'Arco,3782.0,3572.0,1.0587905935050392e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Redenção,45967.0,46727.0,9837353136302352.0,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Rio Maria,9776.0,9414.0,1.0384533673252602e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Santa Maria das Barreiras,9023.0,8042.0,1.1219845809500124e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Santana do Araguaia,15660.0,14795.0,1.0584656978709024e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
São Félix do Xingu,34681.0,29970.0,1.1571905238571904e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Sapucaia,3138.0,3074.0,1.0208197787898504e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Tucumã,21440.0,21443.0,9998600942032364.0,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Xinguara,29266.0,28502.0,1.0268051364816504e+16,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
Elaboração: FAPESPA,,,,2 Araguaia,2,População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,20,Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 2 - População_Por_Sexo_e_Razão_entre_Sexos-_2025_ri_araguaia.xlsx,Araguaia
