EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,2914860687628959.0
RI Araguaia,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,7011103309847045.0
Água Azul do Norte,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,4701063216759009.0
Bannach,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,2.213993557909276e+16
Conceição do Araguaia,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,3133739209794931.0
Cumaru do Norte,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,7589233395899047.0
Floresta do Araguaia,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,1.9237479320704736e+16
Ourilândia do Norte,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,1.7839835108431394e+16
Pau D'Arco,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,9515423226556152.0
Redenção,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,265651774836431.0
Rio Maria,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,3.4410485919766444e+16
Santa Maria das Barreiras,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,6060830878817618.0
Santana do Araguaia,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,7378273161807541.0
São Félix do Xingu,2 Araguaia,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri araguaia.xlsx",Araguaia,Desflorestamento_Acumulado_km,2.1420794357074804e+16
