EstadoMunicpios,_Participao_PIB_Estadual,_Participao_VA_Agropecuria_Estadual,_Participao_VA_Industrial_Estadual,_Participao_VA_Servios_Estadual_Exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica_Estadual,_Participao_VA_Total_Estadual,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,100.0,100.0,100.0,100.0,100.0,100.0,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
RI Araguaia,5402912870878165.0,1.4532765669622728e+16,2.2530046418944824e+16,5995494984614993.0,6412372937401008.0,5193209347657735.0,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Água Azul do Norte,2.445190061269332e+16,9858827006214262.0,1.112161657549663e+16,9839974270688010.0,311301087956091.0,2.293859473048263e+16,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Bannach,4.90387559155522e+16,3735196938933948.0,1.4354192724462e+16,1.58900815703127e+16,5868039054581440.0,5246023277111450.0,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,2.51959815755398e+16,5897482041801815.0,2.71633391932533e+16,3589935999497598.0,5054044176879784.0,2.527226217339773e+16,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Cumaru do Norte,1.547222290589942e+16,1.0990581185345996e+16,689792924353880.0,8060187382734940.0,1.634896943119705e+16,1.632094435973209e+16,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,2.291234643096444e+16,1.0729374990082248e+16,1.048488554362584e+16,1.46823142404392e+16,2.491086580207727e+16,2.380079778369e+16,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,4.95233601266514e+16,3917091677366781.0,5159931825890527.0,3560642163118592.0,4.218743809201952e+16,4.447139900194025e+16,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Pau D'Arco,4364556935533030.0,2.328624325486248e+16,3.2980063129591e+16,2.30490589853986e+16,9131851283291010.0,4642210857717570.0,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
Redenção,9705277292770758.0,8243316518544543.0,2.717887299128947e+16,1.9125541347497784e+16,9871169462066336.0,8885304628781575.0,2 Araguaia,38,Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,20,Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 38 - Participação do VA dos Setores e da Administração Pública em relação ao Total do Estado - 2021 ri araguaia.xlsx,Araguaia
