Par,9274,290432,1084062,45449,148884,233792,17516,1213359,152720,21320,15601,70569,266576,3966227,4640906,4610,96067,161718,477562,1759249,1562172,1192224,3751973,7307684,127,2802,12167,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,6944,235459,931141,2375,5185,9176,15,900,270,387,200,907,6795.0,125520.0,311538.0,1102,24620,26599,175534.0,781958.0,647960.0,387461.0,1214078.0,2228486.0,0,0,0,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,-,-,-,-,-,-,-,-,-,-,-,-,150.0,1500.0,1650.0,18,360,900,5410.0,28000.0,28000.0,1100.0,3960.0,5940.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Bannach,-,-,-,-,-,-,-,-,-,-,-,-,30.0,750.0,975.0,4,86,201,,,,2097.0,7172.0,13024.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,500,13500,40163,70,84,140,-,-,-,60,24,79,520.0,6240.0,10853.0,25,533,1066,10000.0,42000.0,37800.0,20910.0,72767.0,135783.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,-,-,-,700,1362,1771,-,-,-,20,18,154,250.0,3000.0,6000.0,100,2200,3850,30500.0,118800.0,89550.0,50000.0,180000.0,324000.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,6000,210000,855624,40,74,148,-,-,-,-,-,-,550.0,6600.0,11199.0,750,16150,9559,,,,10000.0,36000.0,68520.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,30,770,2270,-,-,-,-,-,-,10,5,25,100.0,2080.0,4160.0,-,-,-,170.0,561.0,617.0,,,,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,-,-,-,-,-,-,-,-,-,-,-,-,200.0,2900.0,3429.0,35,746,1865,3000.0,11700.0,8541.0,5000.0,15000.0,30000.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
Redenção,20,483,966,55,139,232,-,-,-,110,44,176,2500.0,50000.0,176926.0,-,-,-,9000.0,44400.0,37000.0,11603.0,43859.0,81841.0,-,-,-,2 Araguaia,44,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia",20,"Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 44 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Temporária - 2024 ri araguaia.xlsx",Araguaia
