Par,913,97,978,981,97_2,67,09,0,15,11,2,21,22,04,19,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,80.7,9720666666666668.0,-,96.88749999999999,9712000000000000.0,11.7,9866666666666668.0,-,2.075,1.1266666666666668e+16,7.6,1.8066666666666668e+16,-,1.0375,1.7533333333333334e+16,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,-,944.0,-,-,944.0,-,2.0,-,-,2.0,-,36.0,-,-,36.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Bannach,-,100.0,-,-,100.0,-,0.0,-,-,0.0,-,0.0,-,-,0.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,80.7,965.0,-,99.7,954.0,11.7,11.0,-,0,2.0,7.6,24.0,-,0.3,26.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,-,976.0,-,-,976.0,-,7.0,-,-,7.0,-,17.0,-,-,17.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,-,997.0,-,-,997.0,-,3.0,-,-,3.0,-,0.0,-,-,0.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,-,888.0,-,98.5,898.0,-,3.0,-,1.5,5.0,-,109.0,-,0,97.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,-,100.0,-,-,100.0,-,0.0,-,-,0.0,-,0.0,-,-,0.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Redenção,-,984.0,-,98.6,984.0,-,1.0,-,1.4,2.0,-,15.0,-,0,14.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Rio Maria,-,976.0,-,-,976.0,-,21.0,-,-,21.0,-,3.0,-,-,3.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Santa Maria das Barreiras,-,952.0,-,89.3,942.0,-,44.0,-,7.4,5.0,-,4.0,-,3.3,8.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Santana do Araguaia,-,991.0,-,100,992.0,-,9.0,-,0,8.0,-,0.0,-,0,0.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
São Félix do Xingu,-,92.0,-,95.3,922.0,-,22.0,-,0,21.0,-,58.0,-,4.7,57.0,2 Araguaia,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
