EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,11070.0
RI Baixo Amazonas,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,755.0
Alenquer,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,20.0
Almeirim,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,27.0
Belterra,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,26.0
Curuá,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,7.0
Faro,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,7.0
Juruti,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,56.0
Mojuí dos Campos,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,15.0
Monte Alegre,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,35.0
Óbidos,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,29.0
Oriximiná,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,63.0
Prainha,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,17.0
Santarém,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,433.0
Terra Santa,3 Baixo Amazonas,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri baixo amazonas.xlsx,Baixo Amazonas,Mdicos,20.0
