Par,11569,3762,15331,2384,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,970.0,191.0,1161.0,163.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,91.0,4.0,95.0,20.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,107.0,3.0,110.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,28.0,0.0,28.0,4.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,0.0,0.0,0.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Faro,10.0,0.0,10.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,93.0,23.0,116.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,0.0,0.0,0.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,69.0,19.0,88.0,3.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,64.0,2.0,66.0,1.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Oriximiná,95.0,19.0,114.0,25.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Prainha,24.0,0.0,24.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Santarém,363.0,121.0,484.0,110.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Terra Santa,26.0,0.0,26.0,0.0,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Fonte: DATASUS,,,,,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
Elaboração: FAPESPA,,,,,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
*Nota: Dados referentes a Outubro/2025.,,,,,3 Baixo Amazonas,21,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,20,Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 21 – Caracterização dos Leitos Existentes - 2025 ri baixo amazonas.xlsx,Baixo Amazonas
