Par,1445663,154931,99624,261547,868244,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,104739.0,9248.0,6325.0,19316.0,67647.0,2203.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,3020.0,86.0,156.0,467.0,2281.0,30.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,3404.0,880.0,24.0,240.0,2162.0,98.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,2129.0,38.0,1.0,154.0,1324.0,612.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,970.0,,1.0,33.0,936.0,,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Faro,867.0,2.0,,19.0,840.0,6.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,5457.0,949.0,1003.0,643.0,2822.0,40.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,1017.0,137.0,6.0,90.0,636.0,148.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,4345.0,97.0,74.0,632.0,3489.0,53.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,3608.0,339.0,260.0,683.0,2263.0,63.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Oriximiná,9927.0,2411.0,2963.0,1044.0,3421.0,88.0,3 Baixo Amazonas,24,Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,20,Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 24 - Vínculos Empregatícios no Emprego Formal por Grande Setor (IBGE) - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
