Par,1445663,13001,27369,17213,69065,120790,63390,742285,27276,365274,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,104739.0,152.0,1450.0,784.0,3035.0,7706.0,3076.0,55234.0,2730.0,30572.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Alenquer,3020.0,4.0,45.0,79.0,135.0,384.0,61.0,1419.0,33.0,860.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Almeirim,3404.0,31.0,274.0,22.0,102.0,401.0,167.0,1529.0,97.0,781.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Belterra,2129.0,6.0,13.0,7.0,23.0,171.0,174.0,746.0,161.0,828.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Curuá,970.0,0.0,3.0,7.0,9.0,125.0,49.0,502.0,39.0,236.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Faro,867.0,4.0,55.0,43.0,39.0,116.0,42.0,319.0,10.0,239.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Juruti,5457.0,6.0,113.0,34.0,157.0,470.0,183.0,3314.0,54.0,1126.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Mojuí dos Campos,1017.0,4.0,16.0,8.0,35.0,73.0,46.0,536.0,27.0,272.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Monte Alegre,4345.0,4.0,40.0,23.0,57.0,811.0,55.0,2032.0,29.0,1294.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
Óbidos,3608.0,11.0,118.0,29.0,216.0,468.0,133.0,1815.0,59.0,759.0,3 Baixo Amazonas,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri baixo amazonas.xlsx,Baixo Amazonas
