Par,25454651119799995,26290497911899993,24009724766100007,22807731455,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,18171394499.0,15028797407.0,13750571912.0,1278225496.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,157858375.0,744810674.0,720040478.0,24770196.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,5938472.0,687773094.0,620894696.0,66878398.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,352843834.0,236957565.0,227502779.0,9454786.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,192167955.0,149513604.0,145821138.0,3692465.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,102051794.0,76574244.0,73172406.0,3401838.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,1184841849.0,1450845915.0,138291427.0,67931645.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,457250562.0,288392855.0,276668197.0,11724659.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,1227318864.0,806681881.0,768918206.0,37763675.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,921982054.0,965318822.0,929130566.0,36188256.0,3 Baixo Amazonas,36,"Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas",20,"Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 36 - Produto Interno Bruto Total, Valor Adicionado e Impostos - 2023 ri baixo amazonas.xlsx",Baixo Amazonas
