Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Baixo Amazonas,36263312365.0,7432623700590615.0,7906575869999999.0,7432623699074518.0,3275675601.0,5962010147329016.0,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Alenquer,1839195315.0,3.76966300008436e+16,40100411.0,376966300003681.0,5528531699999999.0,1.006240119905882e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Almeirim,382277793.0,783526600069666.0,83348932.0,7835265954081719.0,21800926.0,3967955251536180.0,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Belterra,1556514998.0,3190274001452088.0,33937065.0,3.190273991464681e+16,56600676.0,1.030180780278315e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Curuá,8141133040000001.0,1668627999938784.0,17750305.0,1.668627984832085e+16,3545025.0,6452249122618400.0,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Faro,122822978.0,2.51741200051271e+16,26779385.0,2.517412023488755e+16,860209.0,1.5656540547721e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Juruti,2982960427.0,6113953999702173.0,6503819299999999.0,6113954037562185.0,35565295.0,6473188297950440.0,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Mojuí dos Campos,1333020592.0,2732193999750892.0,29064163.0,273219393906309.0,63096009.0,1.148401403970291e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Monte Alegre,179068452.0,3670234001149478.0,39042719.0,3670234034138308.0,129334351.0,2.353995959871035e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Óbidos,1888055443.0,3.869808001106716e+16,4.116572e+16,3.869808006553231e+16,57651129.0,1.049299924565314e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
Oriximiná,5823008946.0,1193499200105152.0,1.2696044300000002e+16,1.1934991999094036e+16,101647974.0,1.850080185774281e+16,3 Baixo Amazonas,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri baixo amazonas.xlsx",Baixo Amazonas
