Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Baixo Amazonas,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,102329.0
Alenquer,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,3024.0
Almeirim,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,733.0
Belterra,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,2426.0
Curuá,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,210.0
Faro,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,22.0
Juruti,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,928.0
Mojuí dos Campos,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,2726.0
Monte Alegre,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,5854.0
Óbidos,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,3388.0
Oriximiná,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,3012.0
Prainha,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,452.0
Santarém,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,79414.0
Terra Santa,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,140.0
Fonte: DETRAN,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,
Elaboração: FAPESPA,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1382057,
RI Baixo Amazonas,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,110405.0
Alenquer,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,9257.0
Almeirim,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,3835.0
Belterra,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,1737.0
Curuá,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,733.0
Faro,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,152.0
Juruti,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,3035.0
Mojuí dos Campos,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,867.0
Monte Alegre,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,12496.0
Óbidos,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,6086.0
Oriximiná,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,9113.0
Prainha,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,1637.0
Santarém,3 Baixo Amazonas,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas,..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri baixo amazonas.xlsx,Baixo Amazonas,1419636,60540.0
