Par,973,986,991,26,08,07,01,06,02,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Baixo Amazonas,-,98.42500000000001,99.25,-,1.35,0.75,-,0.225,0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,9234615384615384.0
Alenquer,-,99.2,99.5,-,0.3,0.5,-,0.5,0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,902.0
Almeirim,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,821.0
Belterra,-,-,100,-,-,0,-,-,0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,928.0
Curuá,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,921.0
Faro,-,95.6,-,-,4.4,-,-,0,-,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,100.0
Juruti,-,99.4,99,-,0.2,1,-,0.4,0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,946.0
Mojuí dos Campos,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,954.0
Monte Alegre,-,-,99.5,-,-,0.5,-,-,0,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,905.0
Óbidos,-,-,-,-,-,-,-,-,-,3 Baixo Amazonas,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas","..\..\Desktop\tabelas-powerBI\3 Baixo Amazonas\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 baixo amazonas.xlsx",Baixo Amazonas,914,87.0
