EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
RI Carajás,1.9308333333333336e+16,3296666666666667.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,265.0,421.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,222.0,417.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Canaã dos Carajás,13.0,257.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Curionópolis,103.0,277.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Eldorado do Carajás,179.0,315.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Marabá,137.0,243.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Palestina do Pará,27.0,485.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Parauapebas,113.0,207.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Piçarra,175.0,339.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
São Domingos do Araguaia,25.0,334.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
São Geraldo do Araguaia,198.0,291.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
São João do Araguaia,275.0,37.0,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Fonte: MEC - INEP,,,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
Elaboração: FAPESPA,,,4 Carajás,10,Distorção idade-série total por nível de Ensino - 2024 ri carajas,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri carajas.xlsx,Carajás
