Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Carajás,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,4933333333333334.0
Bom Jesus do Tocantins,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,49.0
Brejo Grande do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,57.0
Canaã dos Carajás,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,52.0
Curionópolis,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,57.0
Eldorado do Carajás,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,51.0
Marabá,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,54.0
Palestina do Pará,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,43.0
Parauapebas,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,52.0
Piçarra,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,51.0
São Domingos do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,4.0
São Geraldo do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,5.0
São João do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,36.0
Fonte: MEC - INEP,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,
Elaboração: FAPESPA,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,48,
RI Carajás,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,4316666666666666.0
Bom Jesus do Tocantins,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,45.0
Brejo Grande do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,46.0
Canaã dos Carajás,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,44.0
Curionópolis,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,5.0
Eldorado do Carajás,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,43.0
Marabá,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,46.0
Palestina do Pará,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,46.0
Parauapebas,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,45.0
Piçarra,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,39.0
São Domingos do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,35.0
São Geraldo do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,45.0
São João do Araguaia,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,34.0
Fonte: MEC - INEP,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,
Elaboração: FAPESPA,4 Carajás,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri carajas.xlsx,Carajás,42,
