Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Carajás,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,12405.0
Bom Jesus do Tocantins,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,271.0
Brejo Grande do Araguaia,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,81.0
Canaã dos Carajás,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,1776.0
Curionópolis,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,306.0
Eldorado do Carajás,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,374.0
Marabá,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,4020.0
Palestina do Pará,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,95.0
Parauapebas,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,4486.0
Piçarra,4 Carajás,17,Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,20,Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 17 - Percent de Nasc Vivos Fx Etária da Mãe - 2024 e Prop de Mulheres Ex Citopato - 2024 ri carajas.xlsx,Carajás,118515,168.0
