EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,8711196.0
RI Carajás,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,843833.0
Bom Jesus do Tocantins,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,19129.0
Brejo Grande do Araguaia,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,6966.0
Canaã dos Carajás,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,89524.0
Curionópolis,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,20975.0
Eldorado do Carajás,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,29287.0
Marabá,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,290975.0
Palestina do Pará,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,7063.0
Parauapebas,4 Carajás,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_carajás.xlsx",Carajás,Populao_Estimada_Total__2025,305771.0
