EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,11070.0
RI Carajás,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,1096.0
Bom Jesus do Tocantins,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,8.0
Brejo Grande do Araguaia,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,4.0
Canaã dos Carajás,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,232.0
Curionópolis,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,39.0
Eldorado do Carajás,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,21.0
Marabá,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,450.0
Palestina do Pará,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,7.0
Parauapebas,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,308.0
Piçarra,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,6.0
São Domingos do Araguaia,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,5.0
São Geraldo do Araguaia,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,13.0
São João do Araguaia,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,3.0
Fonte: DATASUS,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás,Mdicos,
