Par,1445663,13001,27369,17213,69065,120790,63390,742285,27276,365274,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,201798.0,1090.0,3321.0,2416.0,9147.0,16456.0,8279.0,121065.0,3266.0,36758.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,1410.0,327.0,106.0,42.0,71.0,83.0,69.0,487.0,11.0,214.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,768.0,16.0,77.0,70.0,35.0,77.0,54.0,284.0,4.0,151.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Canaã dos Carajás,34945.0,44.0,457.0,457.0,1759.0,3802.0,1295.0,21084.0,448.0,5599.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Curionópolis,4342.0,42.0,186.0,127.0,246.0,362.0,162.0,2212.0,44.0,961.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Eldorado do Carajás,2669.0,4.0,60.0,68.0,137.0,263.0,78.0,1202.0,24.0,833.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Marabá,67888.0,207.0,1124.0,672.0,3753.0,4759.0,3064.0,39590.0,1415.0,13304.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Palestina do Pará,722.0,10.0,15.0,4.0,38.0,22.0,45.0,132.0,4.0,452.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Parauapebas,80334.0,117.0,875.0,714.0,2254.0,6401.0,3058.0,52363.0,1169.0,13383.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Piçarra,1238.0,42.0,165.0,70.0,133.0,137.0,82.0,339.0,8.0,262.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
São Domingos do Araguaia,2930.0,19.0,50.0,30.0,439.0,115.0,93.0,1326.0,102.0,756.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
São Geraldo do Araguaia,3544.0,40.0,171.0,129.0,255.0,386.0,247.0,1697.0,26.0,593.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
São João do Araguaia,1008.0,222.0,35.0,33.0,27.0,49.0,32.0,349.0,11.0,250.0,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Fonte: MTE-RAIS,,,,,,,,,,,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
Elaboração: FAPESPA,,,,,,,,,,,4 Carajás,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - ri carajas.xlsx,Carajás
