EstadoMunicpios,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,2211.0
RI Carajás,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,241.0
Bom Jesus do Tocantins,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,6.0
Brejo Grande do Araguaia,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,0.0
Canaã dos Carajás,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,18.0
Curionópolis,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,6.0
Eldorado do Carajás,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,11.0
Marabá,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,106.0
Palestina do Pará,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,2.0
Parauapebas,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,69.0
Piçarra,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,1.0
São Domingos do Araguaia,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,10.0
São Geraldo do Araguaia,4 Carajás,30,"Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas",20,"Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 30 - Número de Óbitos por Agressão, População e Taxa de Homicídio Total - 2024 ri carajas.xlsx",Carajás,bitos_por_Agresses_,7.0
