EstadoMunicpio,rea_de_Floresta_km,Hidrografia_km,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8144011.0,439279.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
RI Carajás,154551.0,3886.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,8941.0,392.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,1581.0,267.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Canaã dos Carajás,12957.0,1.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Curionópolis,2963.0,0.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Eldorado do Carajás,2003.0,0.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Marabá,60658.0,86.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Palestina do Pará,1274.0,256.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
Parauapebas,5533.0,18.0,4 Carajás,34,Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,20,Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 34 - Área de Floresta (km²) e Hidrografia (km²) por Região de Integração - 2022 (SERIE ENCERRADA) ri carajas.xlsx,Carajás
