Par,23001070720,2051340906,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Carajás,16123551926,397014585,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,15726537341.0
Bom Jesus do Tocantins,,,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,0.0
Brejo Grande do Araguaia,,,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,0.0
Canaã dos Carajás,6702550801,98661750,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,6603889051.0
Curionópolis,478526374,313923,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,478212451.0
Eldorado do Carajás,,,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,0.0
Marabá,2586216349,149727017,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,2436489332.0
Palestina do Pará,,,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,0.0
Parauapebas,6245678423,148286346,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,6097392077.0
Piçarra,117903,0,4 Carajás,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri carajas.xlsx",Carajás,20949729814,117903.0
