Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Carajás,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,211359.0
Bom Jesus do Tocantins,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,1563.0
Brejo Grande do Araguaia,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,779.0
Canaã dos Carajás,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,22893.0
Curionópolis,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,3361.0
Eldorado do Carajás,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,6024.0
Marabá,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,82562.0
Palestina do Pará,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,416.0
Parauapebas,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,83810.0
Piçarra,4 Carajás,50,Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,20,Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 50 - Total da Frota de Veículos subdiv em Licenciados e Não Licenciados - 2024 ri carajás.xlsx,Carajás,1382057,789.0
