Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Carajás,-,-,164.0,48,212.0,-,14,277.0,82,373.0,-,14,385.0,89,488.0,3,79.0,-,27,109.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Bom Jesus do Tocantins,-,-,4.0,-,4.0,-,14,7.0,1,22.0,-,14,9.0,1,24.0,-,15.0,-,-,15.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Brejo Grande do Araguaia,-,-,9.0,-,9.0,-,-,10.0,-,10.0,-,-,11.0,-,11.0,-,2.0,-,-,2.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Canaã dos Carajás,-,-,7.0,6,13.0,-,-,11.0,6,17.0,-,-,18.0,7,25.0,-,3.0,-,4,7.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Curionópolis,-,-,5.0,1,6.0,-,-,9.0,1,10.0,-,-,15.0,1,16.0,-,3.0,-,-,3.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Eldorado do Carajás,-,-,13.0,-,13.0,-,-,29.0,-,29.0,-,-,33.0,1,34.0,-,3.0,-,-,3.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Marabá,-,-,42.0,18,60.0,-,-,95.0,35,130.0,-,-,153.0,38,191.0,2,24.0,-,13,39.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Palestina do Pará,-,-,6.0,-,6.0,-,-,6.0,-,6.0,-,-,7.0,-,7.0,-,2.0,-,-,2.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Parauapebas,-,-,21.0,21,42.0,-,-,35.0,36,71.0,-,-,47.0,38,85.0,1,17.0,-,9,27.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Piçarra,-,-,5.0,-,5.0,-,-,15.0,-,15.0,-,-,22.0,-,22.0,-,2.0,-,-,2.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
São Domingos do Araguaia,-,-,20.0,2,22.0,-,-,21.0,2,23.0,-,-,24.0,2,26.0,-,2.0,-,1,3.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
São Geraldo do Araguaia,-,-,15.0,-,15.0,-,-,19.0,1,20.0,-,-,26.0,1,27.0,-,5.0,-,-,5.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
São João do Araguaia,-,-,17.0,-,17.0,-,-,20.0,-,20.0,-,-,20.0,-,20.0,-,1.0,-,-,1.0,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Fonte: MEC - INEP,,,,,,,,,,,,,,,,,,,,,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás
