Par,col,1,437,1_2,19,681,3,480,747,21,2,261,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Carajás,-,-,48,-,14,82,-,14,89,3,-,27,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,164.0
Bom Jesus do Tocantins,-,-,-,-,14,1,-,14,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,4.0
Brejo Grande do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,9.0
Canaã dos Carajás,-,-,6,-,-,6,-,-,7,-,-,4,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,7.0
Curionópolis,-,-,1,-,-,1,-,-,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,5.0
Eldorado do Carajás,-,-,-,-,-,-,-,-,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,13.0
Marabá,-,-,18,-,-,35,-,-,38,2,-,13,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,42.0
Palestina do Pará,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,6.0
Parauapebas,-,-,21,-,-,36,-,-,38,1,-,9,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,21.0
Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,5.0
São Domingos do Araguaia,-,-,2,-,-,2,-,-,2,-,-,1,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,20.0
São Geraldo do Araguaia,-,-,-,-,-,1,-,-,1,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,15.0
São João do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,17.0
Fonte: MEC - INEP,,,,,,,,,,,,,4 Carajás,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajás.xlsx",Carajás,3344,
