Par,col,7,1102,11,38,2073,163,6399,9017,1126,32,3075,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Carajás,-,-,117,-,21,252,-,122,1050,126,-,311,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,515.0
Bom Jesus do Tocantins,-,-,-,-,21,2,-,122,5,-,-,-,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,18.0
Brejo Grande do Araguaia,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,10.0
Canaã dos Carajás,-,-,23,-,-,26,-,-,122,-,-,50,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,58.0
Curionópolis,-,-,3,-,-,4,-,-,8,-,-,-,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,35.0
Eldorado do Carajás,-,-,-,-,-,-,-,-,6,-,-,-,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,22.0
Marabá,-,-,31,-,-,100,-,-,411,98,-,144,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,131.0
Palestina do Pará,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,6.0
Parauapebas,-,-,58,-,-,113,-,-,469,28,-,107,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,122.0
Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,4 Carajás,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas","..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri carajas.xlsx",Carajás,6417,52.0
