EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,161.0
RI Guajará,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,1766.0
Ananindeua,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,179.0
Belém,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,167.0
Benevides,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,176.0
Marituba,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,183.0
Santa Bárbara do Pará,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,178.0
Fonte: MEC - INEP,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,
Elaboração: FAPESPA,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,Creche,
Pará,5 Guajará,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri guajara.xlsx,Guajará,PrEscola,178.0
