EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
RI Guajará,5731.0,753.0,781.0,131.0,1861.0,4140.0,1117.0,337.0,266.0,351.0,506.0,1232.0,459.0,871.0,50.0,154.0,3.0,2166.0,1081.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Ananindeua,742.0,119.0,90.0,18.0,225.0,622.0,137.0,40.0,22.0,75.0,55.0,175.0,65.0,102.0,5.0,41.0,0.0,243.0,173.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Belém,4847.0,557.0,647.0,112.0,1572.0,3237.0,943.0,288.0,242.0,226.0,423.0,952.0,385.0,722.0,45.0,111.0,3.0,1909.0,853.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Benevides,58.0,21.0,16.0,0.0,36.0,69.0,11.0,2.0,1.0,16.0,7.0,37.0,3.0,14.0,0.0,1.0,0.0,1.0,11.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Marituba,74.0,51.0,26.0,1.0,26.0,186.0,23.0,7.0,1.0,26.0,18.0,61.0,6.0,30.0,0.0,1.0,0.0,13.0,40.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Santa Bárbara do Pará,10.0,5.0,2.0,0.0,2.0,26.0,3.0,0.0,0.0,8.0,3.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,5 Guajará,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri guajara.xlsx,Guajará
