Par,1560,1444,2966,2860,2827,2630,138,132,424,410,239,234,746,720,1199,1128,215,197,19075,18607,506,493,172,165,30067,29020,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guajará,820,746,1563,1488,1362,1228,57,54,128,127,91,91,230,218,465,418,59,52,8898,8661,166,164,72,70,13911,13317,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Ananindeua,81,72,162,130,141,112,14,13,27,27,18,18,30,29,71,65,16,13,476,449,28,28,9,9,1073,965,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Belém,718,654,1363,1321,1182,1077,39,37,95,94,70,70,192,181,377,337,37,33,8287,8080,132,130,61,59,12553,12073,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Benevides,4,4,4,4,5,5,2,2,1,1,1,1,3,3,6,6,2,2,32,32,1,1,1,1,62,62,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Marituba,17,16,34,33,34,34,2,2,5,5,2,2,4,4,10,9,3,3,95,92,4,4,1,1,211,205,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Santa Bárbara do Pará,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,1,1,0,0,12,12,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Guajará,22,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara",20,"Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 22 – Caracterização Hospitalar – Equip de Manutenção da Vida, Equip de Diagnóstico e Infra - 2025 ri guajara.xlsx",Guajará
