Par,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guajará,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,2.8357181528941812e+16
Ananindeua,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,237240035865731.0
Belém,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,43112077185449.0
Benevides,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,262724567411322.0
Marituba,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,279013566359802.0
Santa Bárbara do Pará,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,207760134955746.0
Fonte: MTE-RAIS,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,
Elaboração: FAPESPA,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,326240796288622,
RI Guajará,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,321345718915439,2.794443964849744e+16
Ananindeua,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,321345718915439,236667153950775.0
Belém,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,321345718915439,40898375362641.0
Benevides,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,321345718915439,262725405722101.0
Marituba,5 Guajará,27,Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,20,Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 27 - Remuneração Média (R$) Total e por Sexo do Trabalhador Formal - 2024 - ri guajara.xlsx,Guajará,321345718915439,278277698419865.0
